TABLE AGENCIES,,,,,,,
agency_id,agency_name,agency_type,distribution_channel,,,,
37541,5,10,No,81,Philippines,13,0.00
37542,5,10,No,29,China,29,0.00
37543,5,10,No,51,Hong Kong,13,0.00
37544,5,10,No,3,Malaysia,12,0.00
37545,5,10,No,5,Hong Kong,61,0.00
37546,5,10,No,97,United States,61,0.00
37547,5,10,No,163,United States,128,0.00
37548,5,10,No,97,United States,61,0.00
37549,5,10,No,164,China,27,0.00
37550,5,11,No,11,Singapore,87,0.00
37551,5,11,No,99,Korea,42,0.00
37552,5,11,No,17,Singapore,100,0.00
37553,5,11,No,9,Vietnam,20,0.00
37554,5,11,No,11,Cambodia,20,0.00
37555,5,11,No,31,Russian Federation,82,0.00
37556,7,3,No,0,India,62,24.80
37557,7,3,No,0,India,62,24.80
37558,7,3,No,25,India,31,12.40
37559,4,3,No,9,Indonesia,28,10.64
37560,4,5,No,27,Peru,158,60.04
37561,8,3,No,4,Brunei Darussalam,15,6.00
37562,14,22,No,0,Malaysia,27,17.55
37563,14,20,No,9,Malaysia,31,20.15
37564,9,12,No,40,Singapore,9,2.56
37565,3,4,No,22,Cambodia,22,7.70
37566,3,4,No,36,India,35,12.25
37567,3,4,No,10,Malaysia,22,7.70
37568,3,4,No,8,Malaysia,18,6.30
37569,3,4,No,4,Thailand,18,6.30
37570,3,4,No,47,Hong Kong,26,9.10
37571,3,4,No,96,China,63,22.05
37572,3,4,No,56,Thailand,22,7.70
37573,3,4,No,40,China,56,19.60
37574,3,4,No,21,Lao,30,10.50
37575,3,4,No,60,Hong Kong,35,12.25
37576,3,4,No,168,Philippines,37,12.95
37577,3,3,No,16,Hong Kong,45,15.75
37578,11,1,No,54,Thailand,29,9.57
37579,11,1,No,242,Malaysia,29,9.57
37580,6,7,No,7,Singapore,17,4.25
37581,6,7,No,8,Singapore,14,3.38
37582,6,7,No,21,Singapore,24,5.88
37583,6,7,No,21,Singapore,14,3.38
37584,6,7,No,23,Singapore,35,8.63
37585,6,7,Yes,128,Singapore,54,13.38
37586,6,7,No,126,Singapore,128,31.88
37587,6,7,No,116,Singapore,73,18.13
37588,6,7,No,16,Singapore,17,4.25
37589,6,7,No,35,Singapore,30,7.38
37590,6,7,No,14,Singapore,24,5.88
37591,6,7,No,6,Singapore,18,4.50
37592,6,7,No,21,Singapore,24,5.88
37593,6,7,No,12,Singapore,30,7.38
37594,6,8,No,3,Singapore,20,4.88
37595,6,8,No,20,Singapore,64,15.88
37596,6,8,Yes,77,Singapore,64,15.88
37597,6,8,No,13,Singapore,34,8.38
37598,6,8,No,165,Singapore,64,15.88
37599,6,8,No,52,Singapore,79,19.63
37600,6,8,No,7,Singapore,25,6.25
37601,6,8,No,23,Singapore,50,12.38
37602,6,8,No,7,Singapore,25,6.25
37603,6,8,No,7,Singapore,19,4.63
37604,6,8,No,11,Singapore,19,4.63
37605,6,8,No,5,Singapore,19,4.63
37606,6,8,Yes,15,Singapore,34,8.38
37607,6,8,No,7,Singapore,25,6.25
37608,6,8,No,38,Singapore,67,16.75
37609,6,8,No,6,Singapore,19,4.63
37610,6,8,No,16,Singapore,19,4.63
37611,6,8,No,7,Singapore,19,4.63
37612,6,9,No,409,Singapore,253,63.21
37613,6,15,No,373,Singapore,0,97.34
37614,2,2,No,15,Malaysia,40,23.76
37615,2,2,No,34,Sweden,139,83.16
37616,2,2,No,129,United Kingdom,79,47.52
37617,2,2,No,62,Australia,10,5.94
37618,2,2,No,28,Australia,69,41.58
37619,2,2,No,4,Malaysia,0,11.88
37620,2,2,No,20,Australia,40,23.76
37621,2,2,No,39,New Zealand,59,35.64
37622,2,2,No,43,Australia,50,29.70
37623,2,2,No,46,Australia,50,29.70
37624,2,2,No,7,Australia,40,23.76
37625,2,2,No,22,United Kingdom,0,83.16
37626,2,2,Yes,46,Spain,40,23.76
37627,2,2,No,11,Philippines,0,11.88
37628,2,2,No,20,Australia,50,29.70
37629,2,2,No,23,Thailand,40,23.76
37630,2,2,No,30,Australia,59,35.64
37631,2,2,No,13,Philippines,30,17.82
37632,2,2,No,11,Australia,10,5.94
37633,2,2,No,34,Austria,50,29.70
37634,2,2,No,150,Malaysia,89,53.46
37635,5,6,No,34,Korea,61,0.00
37636,5,6,No,26,Japan,49,0.00
37637,5,6,No,87,Thailand,23,0.00
37638,5,6,No,160,Singapore,112,0.00
37639,5,6,No,21,Korea,46,0.00
37640,5,6,No,7,Singapore,112,0.00
37641,5,6,No,70,Thailand,20,0.00
37642,5,6,No,87,Malaysia,22,0.00
37643,5,6,No,162,Thailand,112,0.00
37644,5,6,No,97,Hong Kong,20,0.00
37645,5,6,No,7,Philippines,23,0.00
37646,5,6,No,10,Korea,62,0.00
37647,5,6,Yes,20,Korea,46,0.00
37648,5,6,No,7,Thailand,25,0.00
37649,5,6,No,43,Singapore,75,0.00
37650,5,6,No,18,China,24,0.00
37651,5,6,No,42,United Kingdom,88,0.00
37652,5,6,No,6,Thailand,25,0.00
37653,5,6,No,14,Thailand,26,0.00
37654,5,6,No,4,Indonesia,21,0.00
37655,5,6,No,12,Japan,77,0.00
37656,5,6,No,3,Malaysia,63,0.00
37657,5,6,No,63,Malaysia,20,0.00
37658,5,6,No,8,Vietnam,0,0.00
37659,5,6,No,217,China,43,0.00
37660,5,6,No,14,Indonesia,21,0.00
37661,5,6,No,5,Indonesia,23,0.00
37662,5,6,No,11,Vietnam,20,0.00
37663,5,6,No,16,India,44,0.00
37664,5,10,No,83,Japan,22,0.00
37665,5,10,No,322,Canada,80,0.00
37666,5,10,No,322,Canada,80,0.00
37667,5,10,No,56,United States,13,0.00
37668,5,10,No,3,Singapore,10,0.00
37669,5,10,No,2,Thailand,51,0.00
37670,5,10,No,25,Singapore,47,0.00
37671,5,10,No,45,Singapore,75,0.00
37672,5,10,No,28,Portugal,30,0.00
37673,5,10,No,3,United States,13,0.00
37674,5,10,No,83,Korea,28,0.00
37675,5,10,No,42,Australia,41,0.00
37676,5,10,No,70,France,66,0.00
37677,5,10,No,7,Indonesia,17,0.00
37678,5,10,No,5,Indonesia,17,0.00
37679,5,10,No,120,India,33,0.00
37680,5,10,No,26,Malaysia,32,0.00
37681,5,10,No,87,Malaysia,10,0.00
37682,5,10,No,28,Singapore,80,0.00
37683,5,10,No,20,Myanmar,18,0.00
37684,5,10,No,76,Japan,45,0.00
37685,5,10,No,11,Thailand,10,0.00
37686,5,10,No,102,Vietnam,10,0.00
37687,5,10,No,11,India,0,0.00
37688,5,10,No,7,Malaysia,10,0.00
37689,5,10,No,10,India,15,0.00
37690,5,10,No,2,Myanmar,10,0.00
37691,5,10,No,35,Thailand,10,0.00
37692,5,10,No,10,China,40,0.00
37693,5,10,No,28,Malaysia,20,0.00
37694,5,10,No,38,Vietnam,10,0.00
37695,5,10,No,7,Cambodia,10,0.00
37696,5,10,No,4,Malaysia,0,0.00
37697,5,11,No,5,Singapore,20,0.00
37698,5,11,No,2,Singapore,20,0.00
37699,5,11,No,8,China,0,0.00
37700,5,11,No,132,Korea,0,0.00
37701,5,11,No,12,India,20,0.00
37702,5,11,No,4,Malaysia,20,0.00
37703,5,11,No,8,India,20,0.00
37704,7,3,No,1,India,31,12.40
37705,4,3,No,56,Netherlands,109,41.42
37706,8,3,No,7,Brunei Darussalam,15,6.00
37707,14,23,No,385,United States,404,262.60
37708,14,16,No,60,Australia,26,16.90
37709,9,12,No,83,Singapore,2,0.56
37710,9,12,No,12,Singapore,1,0.38
37711,9,12,No,63,Singapore,6,1.66
37712,9,12,No,17,Singapore,19,5.26
37713,9,12,No,14,Singapore,1,0.31
37714,9,12,No,17,Singapore,3,0.81
37715,9,12,No,56,Singapore,2,0.69
37716,3,4,No,65,Philippines,22,7.70
37717,3,4,No,32,China,35,12.25
37718,3,4,No,19,Thailand,22,7.70
37719,3,4,No,70,Philippines,30,10.50
37720,3,4,No,168,Philippines,37,12.95
37721,3,4,No,14,Indonesia,33,11.55
37722,3,3,No,19,United Kingdom,67,23.45
37723,3,3,No,13,Japan,45,15.75
37724,3,3,No,5,China,45,15.75
37725,1,1,No,105,Malaysia,29,9.57
37726,1,1,No,123,Malaysia,29,9.57
37727,10,3,No,8,Thailand,29,10.15
37728,10,13,No,19,Philippines,21,7.21
37729,6,7,No,20,Singapore,14,3.38
37730,6,7,No,20,Singapore,17,4.25
37731,6,7,No,27,Singapore,23,5.75
37732,6,7,No,55,Singapore,54,13.38
37733,6,7,No,8,Singapore,24,5.88
37734,6,7,No,19,Singapore,17,4.25
37735,6,7,No,26,Singapore,18,4.50
37736,6,7,No,9,Singapore,17,4.25
37737,6,7,No,29,Singapore,77,19.25
37738,6,7,No,93,Singapore,36,8.88
37739,6,7,No,93,Singapore,36,8.88
37740,6,7,No,23,Singapore,30,7.38
37741,6,7,No,69,Singapore,30,7.38
37742,6,7,No,12,Singapore,30,7.38
37743,6,7,No,62,Singapore,54,13.38
37744,6,7,No,41,Singapore,14,3.38
37745,6,7,Yes,55,Singapore,54,13.38
37746,6,7,No,41,Singapore,14,3.38
37747,6,7,No,61,Singapore,17,4.25
37748,6,7,No,25,Singapore,18,4.50
37749,6,7,No,20,Singapore,35,8.63
37750,6,7,No,9,Singapore,14,3.38
37751,6,7,No,7,Singapore,34,8.50
37752,6,7,No,5,Singapore,18,4.50
37753,6,7,No,7,Singapore,18,4.50
37754,6,8,No,18,Singapore,19,4.63
37755,6,8,No,41,Singapore,34,8.38
37756,6,8,No,55,Singapore,109,27.25
37757,6,8,No,48,Singapore,64,15.88
37758,6,8,No,37,Singapore,66,16.50
37759,6,8,No,8,Singapore,25,6.13
37760,6,8,Yes,20,Singapore,72,18.00
37761,6,8,No,69,Singapore,64,15.88
37762,6,8,No,8,Singapore,19,4.63
37763,6,8,No,4,Singapore,19,4.63
37764,6,8,No,12,Singapore,34,8.38
37765,6,8,No,35,Singapore,64,15.88
37766,6,14,No,70,Singapore,27,6.75
37767,6,14,No,8,Singapore,27,6.75
37768,6,9,No,368,Singapore,253,63.21
37769,2,2,No,155,Iceland,50,29.70
37770,2,2,No,88,Mauritius,59,35.64
37771,2,2,No,5,Thailand,30,17.82
37772,2,2,No,9,France,59,35.64
37773,2,2,No,139,Singapore,0,17.82
37774,2,2,No,117,Spain,0,5.94
37775,2,2,No,2,Australia,10,5.94
37776,2,2,No,59,Australia,59,35.64
37777,2,2,No,15,Australia,69,41.58
37778,2,2,No,5,Malaysia,30,17.82
37779,2,2,No,11,Malaysia,30,17.82
37780,2,2,No,6,Malaysia,50,29.70
37781,2,2,No,8,Thailand,0,17.82
37782,2,2,No,19,Germany,40,23.76
37783,2,2,No,48,Thailand,40,23.76
37784,2,2,No,24,Australia,30,17.82
37785,2,2,No,6,Malaysia,20,11.88
37786,2,2,No,41,Australia,30,17.82
37787,2,2,No,3,Jordan,20,11.88
37788,5,6,No,13,Thailand,20,0.00
37789,5,6,No,54,Australia,48,0.00
37790,5,6,No,11,China,99,0.00
37791,5,6,No,36,Indonesia,27,0.00
37792,5,6,No,69,Sweden,73,0.00
37793,5,6,No,48,Malaysia,20,0.00
37794,5,6,No,12,Singapore,20,0.00
37795,5,6,No,125,India,46,0.00
37796,5,6,No,5,Thailand,27,0.00
37797,5,6,No,35,Thailand,20,0.00
37798,5,6,No,13,Hong Kong,61,0.00
37799,5,6,No,37,China,20,0.00
37800,5,6,No,7,Thailand,24,0.00
37801,5,6,No,16,Vietnam,21,0.00
37802,5,6,No,6,Thailand,20,0.00
37803,5,6,No,42,China,23,0.00
37804,5,6,No,70,United Kingdom,88,0.00
37805,5,6,No,13,Taiwan,48,0.00
37806,5,6,No,19,Lao,25,0.00
37807,5,6,No,19,Lao,25,0.00
37808,5,6,No,47,China,85,0.00
37809,5,6,No,27,United States,112,0.00
37810,5,6,No,8,Thailand,32,0.00
37811,5,6,No,169,Singapore,104,0.00
37812,5,6,No,28,Taiwan,20,0.00
37813,5,6,No,33,Korea,62,0.00
37814,5,6,No,20,Vietnam,33,0.00
37815,5,6,No,19,Thailand,39,0.00
37816,5,6,No,9,Indonesia,22,0.00
37817,5,6,No,21,France,76,0.00
37818,5,6,Yes,93,Thailand,20,0.00
37819,5,6,No,52,United Kingdom,112,0.00
37820,5,6,No,71,Philippines,20,0.00
37821,5,6,No,44,Vietnam,33,0.00
37822,5,6,No,27,Malaysia,20,0.00
37823,5,6,No,90,United States,94,0.00
37824,5,6,No,3,Indonesia,33,0.00
37825,5,10,No,15,Korea,34,0.00
37826,5,10,No,23,Taiwan,0,0.00
37827,5,10,No,11,Malaysia,10,0.00
37828,5,10,No,32,Thailand,14,0.00
37829,5,10,No,20,Australia,45,0.00
37830,5,10,No,23,China,17,0.00
37831,5,10,No,18,China,53,0.00
37832,5,10,No,18,Vietnam,15,0.00
37833,5,10,No,15,Thailand,10,0.00
37834,5,10,No,22,Thailand,12,0.00
37835,5,10,No,3,Thailand,11,0.00
37836,5,10,No,13,Vietnam,16,0.00
37837,5,10,No,27,Singapore,10,0.00
37838,5,10,No,27,Thailand,65,0.00
37839,5,10,No,23,United States,80,0.00
37840,5,10,No,97,Malaysia,10,0.00
37841,5,10,No,9,Thailand,10,0.00
37842,5,10,No,12,Singapore,61,0.00
37843,5,10,No,27,Australia,35,0.00
37844,5,10,No,8,Malaysia,16,0.00
37845,5,10,No,29,China,25,0.00
37846,5,10,No,10,India,11,0.00
37847,5,10,No,40,Thailand,21,0.00
37848,5,10,No,56,China,14,0.00
37849,5,10,No,15,Philippines,14,0.00
37850,5,10,No,1,Singapore,10,0.00
37851,5,10,No,4,Vietnam,10,0.00
37852,5,10,No,27,Australia,52,0.00
37853,5,10,No,28,Myanmar,10,0.00
37854,5,10,No,55,Japan,80,0.00
37855,5,10,No,31,Japan,41,0.00
37856,5,10,No,2,Vietnam,23,0.00
37857,5,10,No,38,Czech Republic,59,0.00
37858,5,10,No,7,Singapore,14,0.00
37859,5,10,No,216,Malaysia,16,0.00
37860,5,10,No,61,Hong Kong,13,0.00
37861,5,10,No,33,China,50,0.00
37862,5,10,No,109,Uzbekistan,41,0.00
37863,5,10,No,2,Singapore,10,0.00
37864,5,10,No,13,Japan,45,0.00
37865,5,10,No,44,Thailand,10,0.00
37866,5,10,No,85,Thailand,10,0.00
37867,5,10,No,16,Australia,37,0.00
37868,5,10,No,49,Lao,18,0.00
37869,5,10,No,2,Indonesia,20,0.00
37870,5,10,No,6,Sri Lanka,11,0.00
37871,5,10,No,85,Thailand,10,0.00
37872,5,10,No,129,Indonesia,10,0.00
37873,5,10,No,24,Netherlands,23,0.00
37874,5,11,No,24,Bangladesh,20,0.00
37875,5,11,No,6,Japan,75,0.00
37876,5,11,No,1,Thailand,20,0.00
37877,5,11,No,43,Philippines,20,0.00
37878,5,11,No,21,Spain,20,0.00
37879,5,11,No,2,Thailand,20,0.00
37880,5,11,No,48,Germany,20,0.00
37881,5,11,No,43,China,23,0.00
37882,5,11,No,3,Indonesia,20,0.00
37883,5,11,No,3,Thailand,0,0.00
37884,4,3,No,209,Indonesia,28,10.64
37885,8,3,No,25,Brunei Darussalam,15,6.00
37886,14,22,No,6,Thailand,32,20.80
37887,14,22,No,8,Taiwan,29,18.85
37888,14,22,No,4,Hong Kong,29,18.85
37889,9,12,No,16,Singapore,12,3.46
37890,9,12,No,34,Singapore,8,2.20
37891,9,12,No,71,Singapore,12,3.46
37892,9,12,No,73,Singapore,4,1.05
37893,15,24,No,365,Australia,74,0.00
37894,3,4,No,22,Thailand,22,7.70
37895,3,4,No,102,Japan,35,12.25
37896,3,4,No,12,India,40,14.00
37897,3,4,No,42,China,26,9.10
37898,3,4,No,11,Philippines,22,7.70
37899,3,4,No,27,China,35,12.25
37900,3,4,No,4,Thailand,18,6.30
37901,3,4,No,104,Korea,35,12.25
37902,3,4,No,2,Indonesia,18,6.30
37903,3,4,No,22,China,44,15.40
37904,3,4,No,26,Hong Kong,35,12.25
37905,3,4,No,34,China,22,7.70
37906,3,4,No,9,China,26,9.10
37907,3,4,No,43,Hong Kong,26,9.10
37908,3,4,No,62,India,26,9.10
37909,3,4,No,29,Hong Kong,26,9.10
37910,1,1,No,209,Thailand,29,9.57
37911,6,7,No,19,Singapore,24,5.88
37912,6,7,No,12,Singapore,17,4.25
37913,6,7,No,75,Singapore,37,9.26
37914,6,7,No,12,Singapore,24,5.88
37915,6,7,No,20,Singapore,17,4.25
37916,6,7,No,159,Singapore,293,73.25
37917,6,7,No,5,Singapore,14,3.38
37918,6,7,No,5,Singapore,14,3.38
37919,6,7,No,8,Singapore,24,5.88
37920,6,7,No,6,Singapore,18,4.39
37921,6,7,No,67,Singapore,149,37.25
37922,6,7,No,67,Singapore,113,28.25
37923,6,7,No,12,Singapore,24,5.88
37924,6,7,No,4,Singapore,14,3.38
37925,6,7,No,41,Singapore,47,11.75
37926,6,7,No,8,Singapore,18,4.50
37927,6,7,No,12,Singapore,30,7.38
37928,6,7,No,6,Singapore,14,3.38
37929,6,7,No,9,Singapore,14,3.38
37930,6,7,No,21,Singapore,14,3.38
37931,6,8,Yes,112,Singapore,72,18.00
37932,6,8,No,6,Singapore,34,8.38
37933,6,8,No,6,Singapore,19,4.63
37934,6,8,No,85,Singapore,25,6.13
37935,6,8,No,12,Singapore,25,6.13
37936,6,8,No,36,Singapore,85,21.13
37937,6,8,No,13,Singapore,55,13.63
37938,6,8,No,9,Singapore,19,4.63
37939,6,8,No,9,Singapore,25,6.25
37940,6,14,No,76,Singapore,27,6.75
37941,6,9,No,396,Singapore,253,63.21
37942,6,9,No,364,Singapore,188,46.96
37943,2,2,No,15,Iceland,50,29.70
37944,2,2,No,19,Australia,89,53.46
37945,2,2,No,2,Thailand,10,5.94
37946,2,2,No,29,Iceland,30,17.82
37947,2,2,No,16,Taiwan,79,47.52
37948,2,2,No,14,Australia,69,41.58
37949,2,2,No,39,Australia,139,83.16
37950,2,2,No,158,Spain,59,35.64
37951,2,2,No,136,Australia,69,41.58
37952,2,2,No,140,Australia,0,29.70
37953,2,2,No,12,New Zealand,20,11.88
37954,2,2,No,17,Australia,50,29.70
37955,2,2,No,161,United Arab Emirates,69,41.58
37956,2,2,No,7,Thailand,59,35.64
37957,2,2,No,12,Malaysia,30,17.82
37958,2,2,No,6,Thailand,50,29.70
37959,2,2,No,89,Australia,79,47.52
37960,2,2,No,15,Malaysia,20,11.88
37961,2,2,No,116,Australia,59,35.64
37962,2,2,No,13,Australia,10,5.94
37963,2,2,No,45,Malaysia,20,11.88
37964,2,2,No,12,Norway,10,5.94
37965,5,6,No,23,Mongolia,100,0.00
37966,5,6,No,17,Australia,112,0.00
37967,5,6,No,47,France,92,0.00
37968,5,6,No,8,Malaysia,23,0.00
37969,5,6,No,68,United States,76,0.00
37970,5,6,No,42,Philippines,20,0.00
37971,5,6,No,11,Kyrgyzstan,112,0.00
37972,5,6,No,80,China,29,0.00
37973,5,6,Yes,45,Thailand,29,0.00
37974,5,6,No,263,United Kingdom,67,0.00
37975,5,6,No,166,United States,78,0.00
37976,5,6,No,15,Hong Kong,31,0.00
37977,5,6,No,60,Korea,55,0.00
37978,5,6,No,58,Korea,112,0.00
37979,5,6,No,63,Switzerland,63,0.00
37980,5,6,No,14,Japan,41,0.00
37981,5,6,No,62,Israel,100,0.00
37982,5,6,No,97,Australia,38,0.00
37983,5,6,No,5,Vietnam,26,0.00
37984,5,6,No,116,Australia,44,0.00
37985,5,6,No,4,Malaysia,20,0.00
37986,5,6,No,34,India,26,0.00
37987,5,6,No,12,Hong Kong,26,0.00
37988,5,6,No,53,Japan,99,0.00
37989,5,6,No,48,India,92,0.00
37990,5,6,No,14,Thailand,23,0.00
37991,5,6,No,9,Indonesia,40,0.00
37992,5,6,No,4,Cambodia,20,0.00
37993,5,6,No,6,Hong Kong,26,0.00
37994,5,6,No,9,India,38,0.00
37995,5,6,No,18,Vietnam,21,0.00
37996,5,10,No,18,India,80,0.00
37997,5,10,No,35,India,21,0.00
37998,5,10,No,78,United States,30,0.00
37999,5,10,No,91,Korea,44,0.00
38000,5,10,No,209,Philippines,24,0.00
38001,5,10,No,4,Malaysia,14,0.00
38002,5,10,No,2,Singapore,10,0.00
38003,5,10,No,1,Malaysia,10,0.00
38004,5,10,No,4,United States,28,0.00
38005,5,10,No,39,South Africa,80,0.00
38006,5,10,No,3,Malaysia,10,0.00
38007,5,10,No,29,United States,68,0.00
38008,5,10,No,170,Philippines,25,0.00
38009,5,10,No,33,India,0,0.00
38010,5,10,No,1,Malaysia,10,0.00
38011,5,10,No,10,United States,20,0.00
38012,5,10,No,11,Indonesia,19,0.00
38013,5,10,No,4,Cambodia,19,0.00
38014,5,10,No,37,Korea,19,0.00
38015,5,10,No,11,Singapore,10,0.00
38016,5,10,No,212,India,14,0.00
38017,5,10,No,3,Thailand,10,0.00
38018,5,10,No,8,Myanmar,10,0.00
38019,5,10,No,13,Singapore,10,0.00
38020,5,10,No,16,India,20,0.00
38021,5,10,No,95,Indonesia,10,0.00
38022,5,10,No,6,Australia,49,0.00
38023,5,10,No,16,Thailand,25,0.00
38024,5,10,No,18,United Kingdom,80,0.00
38025,5,10,No,8,Thailand,13,0.00
38026,5,10,No,162,Australia,65,0.00
38027,5,10,No,20,Philippines,18,0.00
38028,5,10,No,25,Canada,59,0.00
38029,5,10,No,28,China,16,0.00
38030,5,10,No,36,India,10,0.00
38031,5,10,No,7,Singapore,10,0.00
38032,5,10,No,13,Singapore,10,0.00
38033,5,10,No,160,Nepal,25,0.00
38034,5,10,No,160,Nepal,25,0.00
38035,5,10,No,97,Spain,80,0.00
38036,5,10,No,10,Singapore,10,0.00
38037,5,10,No,3,Malaysia,10,0.00
38038,5,10,No,29,India,23,0.00
38039,5,10,No,11,Thailand,19,0.00
38040,5,10,No,7,Hong Kong,33,0.00
38041,5,10,No,20,China,20,0.00
38042,5,10,No,5,Singapore,10,0.00
38043,5,10,No,22,Singapore,20,0.00
38044,5,10,No,2,United States,60,0.00
38045,5,10,No,23,Thailand,10,0.00
38046,5,10,No,68,Thailand,20,0.00
38047,5,10,No,2,Singapore,10,0.00
38048,5,10,No,201,Thailand,32,0.00
38049,5,10,No,32,United States,10,0.00
38050,5,10,No,24,Hong Kong,52,0.00
38051,5,10,No,63,Thailand,12,0.00
38052,5,11,No,1,Indonesia,24,0.00
38053,5,11,No,4,Korea,36,0.00
38054,5,11,No,19,Singapore,20,0.00
38055,5,11,No,3,China,23,0.00
38056,5,11,No,6,Vietnam,20,0.00
38057,5,11,No,2,Singapore,20,0.00
38058,5,11,No,8,Mexico,112,0.00
38059,5,11,No,3,Malaysia,20,0.00
38060,5,11,No,2,United Kingdom,70,0.00
38061,5,11,No,2,Thailand,20,0.00
38062,5,11,No,5,Philippines,29,0.00
38063,7,3,No,84,India,93,37.20
38064,4,3,No,12,Indonesia,33,12.54
38065,8,3,No,4,Brunei Darussalam,15,6.00
38066,8,3,No,31,Brunei Darussalam,15,6.00
38067,8,3,No,10,Brunei Darussalam,15,6.00
38068,14,16,No,33,Austria,85,55.25
38069,14,22,No,6,Thailand,25,16.25
38070,14,16,No,5,Thailand,25,16.25
38071,9,12,No,25,Singapore,1,0.24
38072,9,12,No,4,Singapore,2,0.54
38073,9,12,No,144,Singapore,2,0.56
38074,9,12,No,72,Singapore,4,1.25
38075,3,4,No,37,Philippines,42,14.70
38076,3,4,No,5,Thailand,18,6.30
38077,3,4,No,17,Thailand,33,11.55
38078,3,4,No,8,Malaysia,18,6.30
38079,3,4,No,4,Thailand,22,7.70
38080,3,4,No,3,China,22,7.70
38081,3,4,No,4,Myanmar,18,6.30
38082,3,4,No,5,Thailand,22,7.70
38083,3,4,No,121,Australia,35,12.25
38084,3,4,No,103,Korea,26,9.10
38085,3,4,No,55,Thailand,18,6.30
38086,3,4,No,10,Taiwan,26,9.10
38087,3,3,No,16,United Kingdom,49,17.15
38088,3,3,No,33,United States,121,42.35
38089,1,1,No,52,Malaysia,29,9.57
38090,6,7,No,25,Singapore,12,2.88
38091,6,7,No,56,Singapore,45,11.13
38092,6,7,No,158,Singapore,185,46.25
38093,6,7,No,12,Singapore,30,7.38
38094,6,7,Yes,7,Singapore,17,4.25
38095,6,7,No,61,Singapore,24,5.88
38096,6,7,No,31,Singapore,36,8.88
38097,6,7,No,15,Singapore,54,13.38
38098,6,7,No,17,Singapore,23,5.75
38099,6,7,No,4,Singapore,23,5.75
38100,6,7,No,11,Singapore,30,7.38
38101,6,7,No,5,Singapore,18,4.50
38102,6,7,No,18,Singapore,31,7.64
38103,6,7,No,58,Singapore,47,11.75
38104,6,7,No,13,Singapore,14,3.38
38105,6,7,No,13,Singapore,14,3.38
38106,6,7,No,6,Singapore,14,3.38
38107,6,7,No,15,Singapore,23,5.75
38108,6,7,No,24,Singapore,14,3.38
38109,6,7,No,39,Singapore,12,2.88
38110,6,7,No,4,Singapore,14,3.38
38111,6,7,No,6,Singapore,14,3.38
38112,6,7,No,19,Singapore,30,7.38
38113,6,7,No,5,Singapore,18,4.50
38114,6,8,No,32,Singapore,42,10.38
38115,6,8,No,3,Singapore,41,10.25
38116,6,8,No,6,Singapore,19,4.63
38117,6,8,No,10,Singapore,34,8.38
38118,6,8,Yes,21,Singapore,72,18.00
38119,6,8,No,20,Singapore,72,18.00
38120,6,8,No,39,Singapore,85,21.13
38121,6,8,No,53,Singapore,34,8.38
38122,6,8,Yes,5,Singapore,15,3.75
38123,6,8,Yes,53,Singapore,64,15.88
38124,6,14,No,25,Singapore,22,5.38
38125,6,14,No,14,Singapore,36,8.88
38126,6,9,No,420,Singapore,253,63.21
38127,6,9,No,404,Singapore,253,63.21
38128,2,2,No,64,Iceland,69,41.58
38129,2,2,No,93,Iceland,109,65.34
38130,2,2,No,4,Malaysia,20,11.88
38131,2,2,No,55,Malaysia,40,23.76
38132,2,2,No,9,United Kingdom,89,53.46
38133,2,2,No,14,Australia,109,65.34
38134,2,2,No,24,New Zealand,50,29.70
38135,2,2,No,38,Australia,69,41.58
38136,2,2,No,87,Japan,30,17.82
38137,2,2,No,36,Germany,168,100.98
38138,2,2,No,26,Malaysia,50,29.70
38139,2,2,No,46,Malaysia,10,5.94
38140,2,2,No,51,Israel,20,11.88
38141,2,2,No,11,France,30,17.82
38142,2,2,No,16,Switzerland,59,35.64
38143,5,6,No,17,Thailand,49,0.00
38144,5,6,No,23,Thailand,106,0.00
38145,5,6,No,130,Hong Kong,24,0.00
38146,5,6,No,35,Italy,51,0.00
38147,5,6,No,40,Germany,0,0.00
38148,5,6,No,26,United States,112,0.00
38149,5,6,No,9,Malaysia,20,0.00
38150,5,6,No,9,Thailand,35,0.00
38151,5,6,No,4,Singapore,39,0.00
38152,5,6,No,36,Thailand,20,0.00
38153,5,6,No,65,United States,27,0.00
38154,5,6,No,17,Indonesia,20,0.00
38155,5,6,No,9,Lao,53,0.00
38156,5,6,No,91,United States,96,0.00
38157,5,6,No,13,Malaysia,20,0.00
38158,5,6,No,122,Japan,52,0.00
38159,5,6,No,25,Cambodia,63,0.00
38160,5,6,No,77,China,28,0.00
38161,5,6,No,32,Canada,112,0.00
38162,5,6,No,19,Hong Kong,43,0.00
38163,5,6,No,17,Vietnam,112,0.00
38164,5,6,No,22,Vietnam,27,0.00
38165,5,6,No,150,China,28,0.00
38166,5,6,No,53,United Kingdom,102,0.00
38167,5,6,No,46,Switzerland,83,0.00
38168,5,6,No,7,Indonesia,20,0.00
38169,5,6,No,14,China,73,0.00
38170,5,6,No,8,Thailand,20,0.00
38171,5,6,No,18,Thailand,24,0.00
38172,5,10,No,67,India,47,0.00
38173,5,10,No,25,India,10,0.00
38174,5,10,No,5,Australia,16,0.00
38175,5,10,No,37,Singapore,10,0.00
38176,5,10,No,57,Thailand,11,0.00
38177,5,10,No,9,China,39,0.00
38178,5,10,No,48,India,16,0.00
